date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl,equity_ret
18202,-318234569.6814961,1566852270.7744646,28471876.22188858,-1811236.043551406,-62093352.505427584,-1258897663.411583,0.0,-45712674.645704985,-586617323.6567907,540904649.0110857,0.34062005886401403
18203,-251338695.53955865,-72370521.79536138,-3896704.930546347,-2252949.0385315083,44846304.22500001,346599520.945089,0.0,61586953.86609113,-439346896.136528,500933850.00261915,-0.015732722129426387
18204,-1770215362.8225992,1479573985.315675,1352300.3436991936,-17707213.661434766,-72554748.75375,-1339538785.8620203,0.0,-1719089825.44043,-3588945469.1853204,1869855643.7448905,0.32164651854688586
18205,-1401699044.762442,1127098232.3739285,1290943.978811764,-17194248.642846845,-265547554.76177213,-948547238.1523578,0.0,-1504598909.9666786,-2617468499.18048,1112869589.2138014,0.2450213548638975
18206,363522215.63365984,713674793.1710862,15714799.218530064,-2133315.6465336266,65120113.12095016,-471638297.4438551,0.0,684260308.0538378,663542380.5133572,20717927.540480614,0.15514669416762744
18207,1781895130.673798,1028411526.1462054,14747847.036424007,-2541786.86765595,44846304.22500001,-603626210.1495076,0.0,2263732811.0642643,3285656076.190152,-1021923265.1258879,0.22356772307526204
18208,1781895130.673798,798955852.671411,22734162.417521276,4575930.849339483,44846304.22500001,-703349680.6481558,0.0,1949657700.1889143,3285656076.190152,-1335998376.0012379,0.17368605492856762
18209,1422927599.9606419,164483042.57045922,9756929.195753146,-10754816.961423395,234268329.99293664,-316948931.13338345,0.0,1503732153.6249838,2473964176.1978827,-970232022.5728989,0.03575718316749114
18210,-33317860.64170903,823269868.1696006,30961893.69352851,-12646877.772046303,-175119448.23813698,-511308525.9502166,0.0,121839049.26102024,-119161794.17741776,241000843.438438,0.1789717104716523
18211,860733215.8962872,739643505.8342584,21896966.055213824,-24513932.02647961,168148261.03809854,-496545585.6899425,0.0,1269362431.1074357,1537505441.5472221,-268143010.43978643,0.16079206648570835
18212,-878737242.7091526,139116599.54650295,14265133.254387602,-14836382.045410406,-85654767.70518704,-130390453.80842188,0.0,-956237113.4672813,-1548251412.8588123,592014299.391531,0.030242739031848466
18213,1781895130.673798,753356.5926000718,-9314668.66226753,-14808974.086968483,-84418415.79392704,281150851.0355205,0.0,1955257279.758756,3285656076.190152,-1330398796.4313962,0.00016377317230436344
18214,-1185847915.2915435,59042078.63505498,-10638024.521464521,-9885382.75501671,14436636.05589289,-15616406.162593354,0.0,-1148509014.0396702,-2160047887.320855,1011538873.2811849,0.012835234485881518
18215,-116368449.58343491,1383404490.1850982,16855447.688288957,-29119523.3105074,56218269.34500949,-987354362.06114,0.0,323635872.2633146,-187809849.50166893,511445721.76498353,0.30074010656197786
18216,1781895130.673798,382181969.9155202,7867217.576349234,-5050279.243683493,44846304.22500001,-408207333.9241068,0.0,1803533009.2228773,3285656076.190152,-1482123066.967275,0.08308303693815657
18217,-1315837051.451725,245725343.03869542,10003007.416743021,-20843517.855763666,995400.9623927044,-289615897.98307896,0.0,-1369572715.8727362,-2434176579.973589,1064603864.1008527,0.053418552834499006
18218,-1770215362.8225992,-73364761.72723009,17634647.06495521,6211237.133543792,-249423476.10873312,-172230153.57518595,0.0,-2241387870.035249,-3588945469.1853204,1347557599.1500711,-0.01594886124505002
18219,1781895130.673798,-1611364742.4815814,-17356396.971080318,-2508098.2593889097,64328170.517325826,1144284137.860841,0.0,1359278201.3399143,3285656076.190152,-1926377874.8502378,-0.35029668314816986
18220,605256325.4011899,-848841400.3715776,1591531.3175903386,14742793.740529232,105112156.27295536,941840319.6747129,0.0,819701726.0354002,1073339096.4717073,-253637370.4363072,-0.18453073921121252
18221,1033032297.0601372,451083559.07514995,28081243.968787216,16702821.647500165,-122812386.43973862,-539451076.8521785,0.0,866636458.4596575,1846415404.4472456,-979778945.987588,0.09806164327720651
18222,1781895130.673798,407037150.84814787,105864.57567529744,-7553339.523630564,44846304.22500001,-129557259.12050062,0.0,2096773851.6784902,3285656076.190152,-1188882224.511662,0.0884863371409017
18223,1678346546.3084962,607002293.372589,13699527.954937415,-7340561.999560414,48260578.865515895,-463560367.9712295,0.0,1876408016.5307484,3069428400.0502367,-1193020383.5194883,0.1319570202983889
18224,-1770215362.8225992,644964114.1202632,279195.17914267443,-2688540.2264090157,-407985002.4986905,-407443319.00797504,0.0,-1943088915.2562675,-3588945469.1853204,1645856553.9290528,0.14020959002614417
18225,-1758425289.8319716,1568326388.2422562,13068151.854614254,-5871075.823385676,-412111796.0550002,-1233135314.2423809,0.0,-1828148935.8558679,-3588945469.1853204,1760796533.3294525,0.34094051918309914
18226,1676611978.9864328,532967501.15523016,26766379.421260938,-19453913.222697146,384403351.5262502,-125409162.98468123,0.0,2475886134.881796,3064401312.921422,-588515178.0396261,0.115862500251137
18227,1781895130.673798,-527100091.5095383,-5180301.1729529,-6753708.414288028,44846304.22500001,90740662.87926455,0.0,1378447996.6812835,3285656076.190152,-1907208079.5088687,-0.11458697641511702
18228,123662646.93362448,1253310430.9865682,38757792.05542197,18052563.209345546,-127997671.16372736,-778449309.938295,0.0,527336452.0829381,246859120.94239998,280477331.1405381,0.27245878934490614
18229,-1740970255.3281887,697929013.063832,14262681.094386447,2352485.9503870006,-320343008.3387497,-516289084.9406631,0.0,-1863058168.498996,-3528147440.7647405,1665089272.2657444,0.1517236984921374
18230,-749461418.1719545,511009589.66796684,8971203.484830216,-18460248.44957082,188730888.67788413,-439935095.1730845,0.0,-499145079.9639287,-1312763842.703929,813618762.7400002,0.1110890412321667
18231,1388462303.5534835,1256454799.7278903,13170798.78493457,-23330651.593531918,-206651924.44738436,-861186441.7870685,0.0,1566918884.2383237,2497457668.131421,-930538783.8930974,0.27314234776693264
18232,536926352.0032662,1290792559.2027175,40547279.10427851,-8323670.329783319,309904281.22270477,-953983184.4365854,0.0,1215863616.7665982,900022912.3376265,315840704.42897177,0.2806070780875473
18233,1781464863.0132158,-1963012394.136031,-10641764.885058884,-1543304.4551407772,168626901.10974327,1549191689.306254,0.0,1524085989.9529824,3285656076.190152,-1761570086.2371697,-0.42674182481218065
18234,-683526280.2053499,-859542872.4815813,-16758037.41658245,-12766813.849384584,-83343913.37081252,384246661.2266175,0.0,-1271691256.0970929,-1230453907.394805,-41237348.70228791,-0.18685714619164812
18235,-1514420899.894616,461873022.4845434,9696296.1330974,891772.6460817143,7473572.578052522,-408174933.23226386,0.0,-1442661169.2851048,-2936210579.7288294,1493549410.4437246,0.10040717880098769
18236,1212063688.9908228,292181755.6408204,-22583110.091383297,-22293597.728902016,321529074.58611524,-213939902.21709833,0.0,1566957909.180375,2150418607.0501356,-583460697.8697605,0.06351777296539574
18237,1781895130.673798,1048996404.2540218,19871330.269761972,-20410849.568537857,77008053.10079372,-679395932.924009,0.0,2227964135.805829,3285656076.190152,-1057691940.3843231,0.22804269657696125
18238,148005270.14881992,1020979937.8568339,21202268.20403301,-26301502.17835304,34622162.41947676,-1130033818.4055178,0.0,68474318.04529262,188124241.9226904,-119649923.87739778,0.22195216040365956
18239,621322203.0963701,2320959474.7267427,22841935.156644568,-25721876.220552128,91248105.32967354,-1705582302.9268832,0.0,1325067539.161996,1086544162.488863,238523376.6731329,0.5045564075492919
18240,-1762383443.5035462,1406588755.0677218,10342105.894259851,-9993839.883949894,-412111796.0550002,-625263926.8884585,0.0,-1392822145.368973,-3588945469.1853204,2196123323.816347,0.3057801641451569
