date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl,equity_ret
21762,337543161.00874597,1296550774.750589,32418147.020878106,5295563.003405569,84704036.79659331,-1082482621.468187,0.0,674029061.1120245,563186448.6422834,110842612.4697411,0.28185886407621497
21763,1769523317.4494257,2039800595.4264727,18442512.269350633,-17653042.268383596,95212870.00638756,-1473634838.7629194,0.0,2431691414.1203337,3285656076.190152,-853964662.0698185,0.4434349120492332
21764,1781895130.673798,328935944.35426515,21984069.973425075,893161.7100910048,293124840.4928416,-288558394.15620023,0.0,2138274753.0482209,3285656076.190152,-1147381323.1419313,0.07150781399005764
21765,1781895130.673798,968957606.8131276,23699496.886487395,7440681.262287167,148148243.5766807,-739545082.5567486,0.0,2190596076.655632,3285656076.190152,-1095059999.5345201,0.21064295800285385
21766,-1770215362.8225992,1172186192.0568871,17283028.803590126,-4794706.019938363,-399217742.3804122,-959290305.208004,0.0,-1944048895.5704765,-3588945469.1853204,1644896573.6148438,0.25482308522975805
21767,-478287783.7838112,275752062.32295394,-15137005.911516089,-22876815.931768402,-128547976.99889436,235583506.84044096,0.0,-133514013.46259513,-841461781.1828346,707947767.7202395,0.05994610050498999
21768,-1365741213.7880116,795086031.9366283,10556538.178858079,15723523.185092987,110282844.40510055,-793414165.5343337,0.0,-1227506441.6166654,-2626842276.9455357,1399335835.3288703,0.17284478955144095
21769,1518163457.42057,848934702.2916951,-7547884.633944292,21971760.815745123,31436388.68426928,-351063992.3993372,0.0,2061894432.178998,2734675809.9714823,-672781377.7924843,0.18455102223732503
21770,28245601.193976067,845800697.1632836,15430826.097315274,1172632.9949571907,-255519297.11716527,-873152043.8628274,0.0,-238021583.53046048,38039875.49019146,-276061459.02065194,0.18386971677462688
21771,-1770215362.8225992,1335569887.9869735,17636622.770973813,-16467419.558820233,-142730459.08635202,-820606753.9398342,0.0,-1396813484.6496582,-3588945469.1853204,2192131984.535662,0.29034127999716813
