date,book,method,var
2019-03-28,fwd_recv_5y5y,Monte Carlo,77236909.07677394
2019-03-28,fwd_recv_5y5y,PCA + GARCH,65265624.261654176
2019-03-28,payer_5y,Delta-Normal,133163505.10621883
2019-03-28,payer_5y,Monte Carlo,132623883.74480519
2019-03-28,payer_5y,PCA + GARCH,118162827.99007085
2019-03-28,payer_10y,Delta-Normal,252045557.87527657
2019-03-28,payer_10y,Monte Carlo,254056105.84931028
2019-03-28,payer_10y,PCA + GARCH,225805482.81357574
2019-04-04,unhedged,Delta-Normal,63008791.54417344
2019-04-04,unhedged,Monte Carlo,63415197.24286299
2019-04-04,unhedged,PCA + GARCH,65853242.82688139
2019-04-04,irs_recv_5y,Delta-Normal,15604251.096012747
2019-04-04,irs_recv_5y,Monte Carlo,15391721.945267698
2019-04-04,irs_recv_5y,PCA + GARCH,12265653.00107069
2019-04-04,irs_recv_10y,Delta-Normal,129340602.56742577
2019-04-04,irs_recv_10y,Monte Carlo,127798024.26350383
2019-04-04,irs_recv_10y,PCA + GARCH,135345316.1081197
2019-04-04,fwd_recv_2y5y,Delta-Normal,47573598.265872456
2019-04-04,fwd_recv_2y5y,Monte Carlo,47496149.712559566
2019-04-04,fwd_recv_2y5y,PCA + GARCH,47169631.66289617
2019-04-04,fwd_recv_5y5y,Delta-Normal,78222744.89984739
2019-04-04,fwd_recv_5y5y,Monte Carlo,77376162.46876629
2019-04-04,fwd_recv_5y5y,PCA + GARCH,81996449.60001677
2019-04-04,payer_5y,Delta-Normal,133104675.415351
2019-04-04,payer_5y,Monte Carlo,134545945.77586395
2019-04-04,payer_5y,PCA + GARCH,139438760.77143773
2019-04-04,payer_10y,Delta-Normal,251298333.47413978
