date,unhedged,irs_recv_5y,irs_recv_10y,fwd_recv_2y5y,fwd_recv_5y5y,payer_5y,payer_10y
2025-06-12,11518499.999999983,2804959.7856991123,1666367.6089546513,11351946.62708865,10270778.115403993,20232040.214300856,21370632.391045317
2025-06-26,23925999.999999978,1349324.3380789533,-45190266.76704004,-13049046.956920765,-23874361.70702996,46502675.661921,93042266.76703998
2025-07-10,49924700.00000001,426553.16515184194,-40560885.92804622,-4148151.492095463,7452218.542029269,99422846.83484817,140410285.92804623
2025-07-24,16123100.000000024,-1163868.432200646,-5934985.399611926,6930101.217588568,11015435.360884214,33410068.432200693,38181185.39961197
2025-08-07,-26053299.99999999,2027832.7159402482,56665107.19081046,25912442.561338793,30313197.26130308,-54134432.71594022,-108771707.19081043
2025-08-21,48316099.99999998,7413153.952214934,-72337173.28475454,-14743956.646112345,-33584829.674820565,89219046.04778501,168969373.28475448
2025-09-04,-20897099.999999966,1353094.9601905681,27129281.99356297,13417210.316247735,5810914.65018538,-43147294.960190505,-68923481.9935629
2025-09-18,21614600.000000004,-2325854.0900564156,12343248.720917467,12544162.01397467,36273881.801510096,45555054.09005642,30885951.27908254
2025-10-02,-3740800.000000042,-585648.7156370105,6314638.215819317,867596.3188378392,3342754.7213902054,-6895951.284363073,-13796238.2158194
2025-10-16,-76117300.0,2504690.744468689,43949271.89293504,2456653.18025887,-32564465.839627147,-154739290.7444687,-196183871.89293504
2025-10-30,68814200.0,-2488295.84339118,-25489452.13726878,6850998.965918541,44243384.20163107,140116695.84339118,163117852.13726878
2025-11-13,40105800.00000006,6253323.109352648,-46552813.60431045,-5782859.233140528,-14243455.103930056,73958276.89064747,126764413.60431057
2025-11-27,-2359700.00000004,-115734.29559234809,-18669769.17481379,-7704501.868090431,-21241084.810198467,-4603665.704407732,13950369.174813706
2025-12-11,107846200.0,3223734.928221464,-65048975.14098334,1208738.164142847,36677228.85675061,212468665.07177854,280741375.14098334
2025-12-30,1140999.999999952,-157346.80308465986,-47721424.53295283,-24974394.461557437,-47500139.79037385,2439346.803084564,50003424.53295274
2026-01-14,-45174500.0,-1472693.2069809437,60759813.45494366,17031674.14768195,19008820.431047916,-88876306.79301906,-151108813.45494366
2026-01-28,16628500.000000011,-2318443.2754366286,-31263672.857969273,-15757916.292110194,-13296249.262450922,35575443.275436655,64520672.8579693
